,Job_Role,Company,Location,Job Experience,Skills,Job_Description
98,Lead Data Scientist,Bajaj Finserv Health,Pune,2-6,"data cleansing, Process automation, Performance tuning, Manager Quality Assurance, NoSQL, Business reporting, Process improvement, JSON","Loading, cleansing and standardization of data on Azure Data lake using PySpark and Dat..."
99,Data Scientist,Data Economy,"Hyderabad/Secunderabad, Pune",6-9,"IT services, Data analysis, data science, Machine learning, Data collection, Product design, Data mining, Analytics",Required skills and qualifications: . 6 or more years of experience . in data science ....
100,Team Lead/Consultant-Data Science,Accenture,Mumbai,7-11,"Publishing, Consulting, Data mining, Analytics, SQL, Architecture, GCP, Machine learning",Skill required: Data Science - Predictive Modeling and Analytics . You are required to ...
101,Data Scientist,Scry Ai,"Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram",3-8,"Text mining, Computer vision, Data analysis, Image processing, Machine learning, Natural language processing, Data mining, Apache",We are currently seeking a passionate Data Scientist with a proven record of building d...
102,Deputy Manager - B2C Underwriting,Bajaj Finserv Ltd.,Bangalore/Bengaluru,1-3,"Logistic regression, Stress testing, Data analysis, Coding, Testing tools, Underwriting, Analytical, Forecasting",B-Tech / MBA Finance / Postgraduate with 1-3 years in quantitative subjects (Statistics...
103,Data Scientist - Senior Associate,PwC,Bangalore/Bengaluru,4-9,"Market analysis, Data analysis, Analytical, Machine learning, Strategic planning, Budgeting, Business intelligence, Data mining",Demonstrating experience in building and maintaining relationships with business partne...
104,Staff Data Scientist,Visa Inc,Bangalore/Bengaluru,5-10,"Data analysis, Linux, Data structures, Windows, Customer service, Apache, Data mining, CRM",Basic Qualifications: . Five or more years of work experience with a Bachelors Degree o...
105,Senior Lead Data Scientist,Baker Hughes,Bangalore/Bengaluru,6-11,"Computer vision, deep learning, Cloud Services, Machine learning, Lead, Forecasting, AWS, Analytics",". Have a Bachelor / Masters/Phd in Computer Science or STEM Majors (Science, Technology..."
106,Lead Data Scientist,DXC Technology,Bangalore/Bengaluru,5-10,"data science, GCP, Machine learning, Cloud, Deployment, Management, AWS, Monitoring","Participate in conceptualizing, designing and developing ML based Analytics Solutions ...."
107,Staff Data Scientist,Bizongo,Bangalore/Bengaluru,9-12,"hive, pyspark, artificial intelligence, sql, deep learning, java, data science, gcp",Experience in working with cross-functional product and engineering teams to understand...
108,Principal Data Scientist,Red Hat,Bangalore/Bengaluru,3-5,"NLP, Tensorflow, PyTorch, Analytical, Machine learning, TensorflowServing, Keras, AWS","Analyze, study, and transform data science prototypes as required. . Review and choose ..."
109,Sr. Data Scientist,Zeta Inc.,Bangalore/Bengaluru,3-7,"Loans, Data analysis, Prototype, NoSQL, data science, Analytical, Machine learning, SQL","Master / Bachelors degree in Machine Learning / Data Science, Applied Statistics, Mathe..."
